pl_name,ra,dec,sy_dist,sy_plx
Kepler-1902 b,292.7376545,42.0147792,344.3370000,2.8768200
Kepler-1903 b,290.8882981,51.2481617,1775.4400000,0.5340610
Kepler-1904 b,288.8744026,51.1542215,270.8540000,3.6634500
Kepler-1905 b,292.5733475,46.3668273,1051.5300000,0.9228440
Kepler-1906 b,293.8266166,38.8565906,1360.6300000,0.7071800
Kepler-1907 b,280.7085829,47.3279236,292.1110000,3.3944700
Kepler-1907 c,280.7085829,47.3279236,292.1110000,3.3944700
Kepler-1909 b,290.8894090,42.4596251,763.6620000,1.2813800
Kepler-191 b,291.1833211,45.3230937,594.4640000,1.6535900
Kepler-191 c,291.1833211,45.3230937,594.4640000,1.6535900
Kepler-191 d,291.1833211,45.3230937,594.4640000,1.6535900
Kepler-1911 b,299.3035590,41.4410233,269.9120000,3.6762900
Kepler-1912 b,282.1178211,46.2239547,297.0170000,3.3380100
Kepler-1913 b,290.2166890,44.7795863,876.3000000,1.1128000
Kepler-1914 b,291.4314024,38.6543635,1621.5600000,0.5889040
Kepler-1915 b,301.2786852,44.2505116,1514.6600000,0.6329800
Kepler-1916 b,293.0705754,48.3876790,2055.8200000,0.4569320
Kepler-1917 b,294.1038932,45.0013533,909.0370000,1.0720900
Kepler-1918 b,292.5305460,42.2145765,1030.1100000,0.9430040
Kepler-1919 b,283.1319153,43.9560050,1177.5300000,0.8212050
Kepler-192 b,287.9179379,45.5928829,651.6740000,1.5057100
Kepler-192 c,287.9179379,45.5928829,651.6740000,1.5057100
Kepler-192 d,287.9179379,45.5928829,651.6740000,1.5057100
Kepler-1920 b,291.0620355,38.8632881,885.9130000,1.1001600
Kepler-1921 b,300.3161723,45.4953271,928.9890000,1.0478500
Kepler-1921 c,300.3161723,45.4953271,928.9890000,1.0478500
Kepler-1922 b,292.3303706,37.9970696,1344.2900000,0.7159250
Kepler-1924 b,293.7673860,42.8291562,1910.7700000,0.4952120
Kepler-1925 b,289.8287452,45.1026883,1771.3100000,0.5355780
Kepler-1926 b,291.1987905,44.1662033,667.4050000,1.4724700
Kepler-1927 b,296.3546093,41.3355698,1091.0000000,0.8882330
Kepler-1928 b,290.4406294,38.5235721,326.3620000,3.0353800
Kepler-1929 b,299.5833362,47.4481244,508.2010000,1.9391100
Kepler-193 b,296.4985951,46.5772484,1009.1000000,0.9625870
Kepler-193 c,296.4985951,46.5772484,1009.1000000,0.9625870
